[[20, 15, 30, 44, 38, 32, 24, 20, 12, 4], 
 [23, 17, 34, 49, 41, 34, 24, 20, 11, 4], 
 [22, 16, 33, 47, 40, 33, 24, 20, 11, 4], 
 [19, 13, 28, 41, 35, 30, 22, 18, 11, 4], 
 [20, 14, 30, 43, 37, 31, 23, 19, 11, 4], 
 [18, 14, 28, 40, 34, 28, 21, 17, 10, 4], 
 [24, 19, 38, 55, 48, 41, 31, 26, 16, 6], 
 [22, 14, 31, 46, 39, 32, 23, 19, 10, 4], 
 [22, 15, 32, 46, 39, 32, 23, 19, 10, 4], 
 [52, 36, 81, 115, 97, 86, 65, 50, 29, 8], 
 [24, 17, 35, 51, 43, 35, 25, 21, 11, 4], 
 [31, 21, 48, 67, 58, 49, 37, 29, 17, 5], 
 [22, 17, 34, 49, 43, 37, 28, 24, 15, 6], 
 [19, 15, 30, 43, 37, 32, 23, 18, 12, 6], 
 [18, 13, 27, 38, 32, 27, 20, 16, 9, 4], 
 [34, 26, 53, 76, 65, 54, 40, 33, 19, 5], 
 [19, 14, 29, 41, 35, 29, 21, 17, 10, 4], 
 [32, 25, 50, 72, 62, 52, 38, 31, 18, 5], 
 [33, 26, 52, 75, 65, 55, 41, 34, 20, 6], 
 [40, 32, 64, 91, 79, 67, 50, 41, 24, 7], 
 [16, 12, 24, 35, 30, 26, 20, 16, 10, 4], 
 [22, 15, 33, 49, 43, 38, 29, 23, 14, 5], 
 [17, 12, 25, 36, 31, 27, 20, 16, 10, 4], 
 [28, 20, 44, 61, 53, 45, 34, 27, 16, 5], 
 [29, 20, 45, 63, 54, 47, 35, 27, 16, 5], 
 [25, 17, 38, 55, 47, 42, 32, 25, 15, 5], 
 [27, 18, 41, 59, 50, 44, 33, 26, 15, 5], 
 [23, 16, 35, 49, 42, 37, 27, 21, 12, 5], 
 [20, 14, 30, 42, 36, 31, 23, 18, 10, 4], 
 [18, 14, 28, 39, 34, 29, 22, 17, 10, 4], 
 [28, 19, 43, 61, 52, 46, 35, 27, 16, 5], 
 [32, 22, 50, 71, 60, 53, 40, 31, 18, 6], 
 [21, 15, 32, 45, 39, 33, 24, 19, 11, 4], 
 [19, 14, 29, 41, 36, 31, 23, 18, 11, 4], 
 [30, 23, 46, 66, 56, 46, 34, 28, 16, 4], 
 [27, 20, 41, 59, 50, 41, 30, 25, 14, 4], 
 [23, 17, 35, 50, 42, 34, 25, 21, 12, 4], 
 [20, 14, 30, 44, 38, 33, 25, 21, 13, 5], 
 [20, 16, 32, 45, 38, 32, 24, 20, 12, 6], 
 [20, 16, 32, 45, 39, 33, 25, 21, 13, 6], 
 [19, 15, 30, 43, 37, 32, 24, 20, 13, 6], 
 [28, 21, 43, 62, 53, 44, 32, 26, 15, 4], 
 [18, 14, 28, 40, 35, 30, 23, 19, 12, 5], 
 [20, 15, 31, 45, 39, 34, 26, 22, 14, 6], 
 [25, 18, 38, 55, 47, 39, 29, 24, 14, 4], 
 [24, 17, 36, 51, 43, 35, 26, 22, 13, 4], 
 [22, 16, 34, 49, 43, 37, 28, 23, 14, 5], 
 [18, 14, 28, 40, 35, 30, 23, 18, 11, 4], 
 [23, 18, 37, 53, 46, 39, 29, 23, 14, 5], 
 [19, 15, 30, 43, 37, 31, 23, 18, 11, 4], 
 [26, 18, 40, 56, 48, 41, 31, 24, 14, 4], 
 [24, 17, 37, 52, 45, 38, 28, 22, 13, 4], 
 [25, 17, 38, 54, 46, 40, 30, 23, 13, 4], 
 [24, 16, 36, 52, 44, 38, 28, 22, 13, 4], 
 [23, 16, 35, 50, 43, 36, 27, 22, 13, 4], 
 [26, 18, 40, 57, 48, 42, 32, 24, 14, 4], 
 [22, 18, 36, 51, 44, 37, 28, 23, 14, 6], 
 [20, 16, 32, 46, 40, 34, 26, 21, 13, 5], 
 [23, 16, 35, 50, 43, 37, 27, 21, 12, 4], 
 [20, 14, 30, 44, 38, 33, 25, 20, 12, 4], 
 [22, 16, 34, 48, 42, 36, 27, 21, 12, 4], 
 [22, 15, 33, 48, 41, 36, 27, 21, 12, 4], 
 [21, 15, 32, 46, 40, 34, 25, 20, 12, 4], 
 [22, 16, 34, 49, 42, 35, 26, 21, 12, 4]]
